MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.79477,0.68815,1.59905,0.55789,1.12353,2.12794,1.21204,azotemic-test
0.7944,0.68802,1.5973,0.55714,1.12528,2.12844,1.21216,azotemic
0.7944,0.68852,1.59892,0.55827,1.12341,2.12744,1.21079,azotemic
0.79477,0.6884,1.59842,0.55589,1.12353,2.12669,1.21191,azotemic
0.79415,0.68765,1.59267,0.55764,1.12528,2.12956,1.20904,azotemic
0.79365,0.6889,1.59842,0.55677,1.12291,2.12781,1.21029,azotemic
0.7929,0.68652,1.59542,0.55639,1.12416,2.13057,1.21229,azotemic
0.7939,0.68915,1.59755,0.55664,1.12328,2.12819,1.21279,azotemic
0.7939,0.68952,1.59692,0.55714,1.12303,2.12881,1.21291,azotemic
0.7949,0.6884,1.59505,0.55702,1.12491,2.13019,1.21241,azotemic
0.7939,0.68902,1.59717,0.55727,1.12528,2.12944,1.21216,azotemic
0.79327,0.6899,1.5973,0.55739,1.12441,2.12906,1.21316,azotemic
0.7939,0.68927,1.59655,0.55739,1.12366,2.12869,1.21304,azotemic-test
0.7929,0.68915,1.59617,0.55702,1.12403,2.12706,1.21229,azotemic
0.79265,0.68927,1.5963,0.55614,1.12366,2.12731,1.21254,azotemic
0.79302,0.68565,1.5948,0.55789,1.12503,2.12769,1.21329,azotemic
0.79315,0.6894,1.59517,0.55752,1.12366,2.12744,1.21241,azotemic
0.79227,0.69002,1.5948,0.55677,1.12428,2.12894,1.21291,azotemic
0.79302,0.68902,1.59542,0.55802,1.12441,2.12794,1.21191,azotemic
0.7904,0.6894,1.59692,0.55652,1.12366,2.12556,1.21341,azotemic
0.7929,0.68865,1.5958,0.55814,1.12366,2.12631,1.21329,azotemic
0.7924,0.68965,1.5943,0.55627,1.12328,2.12869,1.21341,azotemic
0.79227,0.69002,1.5943,0.55777,1.12478,2.12606,1.21379,azotemic
0.7924,0.69027,1.59405,0.55752,1.12328,2.12531,1.21341,azotemic
0.79152,0.68815,1.58792,0.55652,1.12291,2.12169,1.21041,azotemic
0.79102,0.68677,1.59267,0.55827,1.11953,2.12269,1.21091,azotemic-test
0.79077,0.68752,1.59167,0.55739,1.12153,2.11606,1.20704,azotemic
0.79015,0.68652,1.59205,0.55839,1.11916,2.12806,1.21279,azotemic
0.79002,0.68727,1.59255,0.55789,1.12253,2.11331,1.21104,azotemic
0.79165,0.68527,1.59142,0.55689,1.12253,2.10769,1.20729,azotemic
0.79152,0.68652,1.59067,0.55689,1.11516,2.12106,1.21116,azotemic
0.7914,0.68702,1.5893,0.55764,1.12278,2.12319,1.21116,azotemic
0.79127,0.68827,1.59142,0.55827,1.12191,2.12506,1.21179,azotemic
0.7914,0.68802,1.5923,0.55664,1.11941,2.12644,1.20941,azotemic
0.79152,0.68902,1.59267,0.55652,1.12278,2.12669,1.21191,azotemic
0.79227,0.6894,1.59255,0.55777,1.12291,2.12506,1.21329,azotemic
0.79215,0.6889,1.59155,0.55752,1.12178,2.12844,1.21216,azotemic
0.7914,0.6889,1.5923,0.55689,1.12191,2.12519,1.21141,azotemic
0.78952,0.68677,1.58667,0.55689,1.12328,2.11956,1.21229,azotemic
0.79077,0.68827,1.59142,0.55789,1.12266,2.12306,1.21154,azotemic-test
0.78927,0.6879,1.59017,0.55702,1.12228,2.12444,1.21266,azotemic
0.79077,0.68827,1.59142,0.55652,1.12341,2.12506,1.21204,azotemic
