MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.8479,0.81077,1.25566,0.55052,0.70715,1.94656,0.98891,healthy
0.84965,0.80915,1.25654,0.55102,0.7069,1.94631,0.99853,healthy
0.84903,0.80965,1.25554,0.55039,0.70677,1.94806,0.99941,healthy
0.85353,0.8119,1.25891,0.55064,0.70715,1.94793,1.00141,healthy
0.85478,0.81002,1.25554,0.55052,0.7089,1.94818,1.00066,healthy
0.8549,0.8104,1.25579,0.55014,0.71065,1.95281,1.00228,healthy
0.8584,0.81265,1.25754,0.55064,0.7114,1.94918,1.00091,healthy
0.85865,0.80665,1.25616,0.55039,0.71052,1.95481,1.00453,healthy
0.8599,0.81315,1.25866,0.55039,0.7114,1.95143,1.00278,healthy
0.8609,0.8124,1.26016,0.55039,0.71015,1.95118,1.00316,healthy
0.85865,0.81365,1.25991,0.55052,0.71415,1.95718,1.00553,healthy
0.86078,0.81352,1.26054,0.55039,0.71465,1.95293,1.00253,healthy
0.86053,0.8139,1.26016,0.55014,0.7129,1.95368,1.00403,healthy
0.86065,0.8129,1.25904,0.55027,0.71377,1.95906,1.00391,healthy
